quantity,estimate,ci_lo,ci_hi
mean_delta_pc1,0.4800240000405286,0.27009800552633545,0.6932603307307145
mean_delta_pc2,0.11081003609319846,-0.03952555283363288,0.25108027252899373
mean_displacement,0.689186393067686,0.5628984121125178,0.8375810418426005
