llm,midpoint_distance,mean_item_entropy
deepseek-v4-flash,3.851285499674102,0.756717081556113
deepseek-v4-flash [zh],4.7867734435630025,0.69047876277716
deepseek-v4-flash:0731,4.899061134544046,0.9582624055106196
deepseek-v4-flash:0731 [zh],4.498399715454376,1.0213593892946946
deepseek-v4-pro,3.623534186398687,0.7823222168969389
deepseek-v4-pro [zh],5.208032257964615,0.6618900646545396
gemma4:31b,5.08050303721109,0.18212004646059046
gemma4:31b [zh],5.382490130042042,0.43696457720428644
glm-5.1,5.032375184741297,0.7611194130135731
glm-5.1 [zh],4.563244459811461,0.8214603275519365
glm-5.2,4.6173598872295605,1.044211899552206
glm-5.2 [zh],4.872371086031934,0.7947130496366522
gpt-oss:120b,4.2749793006387256,0.8520137915304264
gpt-oss:120b [zh],4.5924459954260115,0.8209222148215195
gpt-oss:20b,3.1326027517066377,1.075075447139227
gpt-oss:20b [zh],3.0494999419374835,1.1346595661707495
kimi-k2.6,4.215684997719825,0.7979288721241209
kimi-k2.6 [zh],4.9779513858614575,0.5965211087422888
kimi-k2.7-code,3.8921459376544454,1.0103175783589757
kimi-k2.7-code [zh],4.281775332732907,0.9160420624691985
minimax-m2.7,4.110912307505477,1.045257837592219
minimax-m2.7 [zh],4.866177380556741,0.8917952781997942
minimax-m3,3.1580373652001015,0.8104257315833566
minimax-m3 [zh],4.850549384233723,0.8681759326028853
mistral-large-3:675b,4.054725638067267,0.5201999052205338
mistral-large-3:675b [zh],4.637283687677518,0.5886437984247773
nemotron-3-nano:30b,2.768244120413531,0.9990005520041485
nemotron-3-nano:30b [zh],2.5393705475526365,1.021474298252781
nemotron-3-super,3.4531724544250615,0.8385498791427397
nemotron-3-super [zh],4.356681885475305,0.9468271621694054
nemotron-3-ultra,4.578033627744484,1.0450849305607617
qwen3.5:397b,5.014424950342419,0.44397543419697527
qwen3.5:397b [zh],5.153212590219813,0.4701036416381493
