llm,PC1_rescaled,PC2_rescaled,ellipse_width,ellipse_height,angle_deg,sd_pc1,sd_pc2,mahal_q95,item_sd_pc1,item_sd_pc2
deepseek-v4-flash,1.5407335925062147,1.3246745953503416,0.726213634535191,0.39846228271735096,-159.27853708621308,0.14170453072147401,0.09246885958286236,5.856213451845545,0.07039889852881358,0.05850891197090124
deepseek-v4-flash [zh],1.6096508845725856,1.7350591127243915,1.0234854811439844,0.2424833471656987,-153.73766813347774,0.18876315026509585,0.10261987400830122,5.795292129803122,0.08312094254021306,0.05097417753519137
deepseek-v4-flash:0731,2.4214599465980435,0.7556089643381292,1.1981433097025498,0.7022675999761222,160.85250847692566,0.2359434716000797,0.15750808422874435,5.836934536873386,0.10777603969508102,0.08969587607933485
deepseek-v4-flash:0731 [zh],3.1438055435218235,1.0312804768671642,0.9011343086606036,0.39450472246326224,176.96999331829096,0.18386625754592947,0.0810587125317115,5.848789746820079,0.11037462145483583,0.09864391736918784
deepseek-v4-pro,1.2885190214768472,2.0130295339744357,1.293316996752605,0.4851126156453219,60.661256921445315,0.15562049538527736,0.23536279824404316,5.859438140338283,0.08073650409289584,0.08897216147500542
deepseek-v4-pro [zh],1.663679605094433,2.1656644749804586,0.62098374791366,0.4303463908192772,75.98521443449503,0.0906533859801116,0.12489981778909919,5.885121154839643,0.07717109722352355,0.07379939601060997
gemma4:31b,2.163407208891536,2.07566544226314,0.4339598713896274,0.1996113229759431,-176.10026237729798,0.08848297918252815,0.04112440134444362,6.649570552383017,0.04837851765340354,0.034386064164047346
gemma4:31b [zh],2.7298127790781663,1.4903818495734784,1.2857214612762387,0.32080394098686793,153.41188457120344,0.2366836855611515,0.13134503387993535,5.836586371632368,0.08888260515923564,0.0756378597320648
glm-5.1,1.7165821841788695,1.7624806088652156,1.0499779266375728,0.34481361154358975,54.008549692345184,0.13832642375926266,0.17840371151234755,5.6814295838961435,0.07845007990266731,0.0825589745223504
glm-5.1 [zh],2.3256083133993153,1.9061594649720874,1.2631486501966307,0.6460813614432557,47.33549278787817,0.1999873730123418,0.20975725339067192,5.897444115350808,0.1035761173959314,0.10223131291600375
glm-5.2,2.5157871309089823,0.780476865812761,1.5460723371800453,0.6335009199029972,176.77834800602358,0.31540014815135137,0.13041376676362404,5.901430647862798,0.12137809293333539,0.10105330276320333
