llm,midpoint_distance,mean_item_entropy
dolphin-llama3:8b,5.372224864988434,1.2812759391382729
dolphin-mistral:7b,4.536783001202504,1.6880152715354342
dolphin-mixtral:8x7b,4.156152066515372,1.3470713453681455
gemma2:27b,5.235799843385918,0.6280053553098484
llama2-chinese:13b [zh],4.399863634250498,1.7998570789409616
llama3:70b,5.502944666267325,0.4846329045950549
mistral:7b,5.7015085722990895,0.5771465789735883
qwen2:7b,4.8931380524158525,0.7724371278013129
qwen2:7b [zh],6.599156774837895,1.0018985569356567
wangrongsheng/llama3-70b-chinese-chat,5.112025039062308,0.9547494505312365
wangshenzhi/gemma2-27b-chinese-chat [zh],5.027762922016112,1.2429659503451453
