llm,PC1_rescaled,PC2_rescaled,ellipse_width,ellipse_height,angle_deg,sd_pc1,sd_pc2,mahal_q95
dolphin-llama3:8b,2.3061082753254567,2.1926644009991616,0.8457698985275959,0.5642324538293748,122.263730285314,0.134178579000365,0.15851711099695137,6.047546718126254
dolphin-mistral:7b,2.476100977462863,1.3733369048927906,0.891992878323192,0.5780658140630852,130.5470800560703,0.14859587103075558,0.15830920729167394,5.760294310544421
dolphin-mixtral:8x7b,2.5638426135112375,1.1213312897558858,0.6050183606096567,0.4802409484323783,161.65200809614313,0.12130042745860291,0.10091200084394035,5.783691505011721
gemma2:27b,2.422201561298729,2.1478285206408856,0.3888535336069165,0.20857719150206647,-178.7948710806346,0.07941839923616316,0.04262927913558522,5.824770507520748
llama2-chinese:13b [zh],1.6346550913160067,2.1058511639418263,0.8872761418808797,0.6906360176812175,132.25779997956087,0.16049018925629754,0.1642999892578579,5.981913312731699
llama3:70b,2.1042238448996584,1.9948503869426217,0.38099959026341956,0.10925221596743032,-177.11880403645952,0.07773630663122078,0.02262938167737552,5.98974547156647
mistral:7b,3.0422873347799277,1.3545608457354639,0.29539656863095004,0.19352190291453084,-151.97122190154496,0.05640961678049798,0.04496222712134943,5.623436867809463
qwen2:7b,1.7854996067749689,2.38334439045486,0.4800319534944171,0.37124993940208195,140.8222751295245,0.08984936711841399,0.08539906403917151,6.000700814711946
qwen2:7b [zh],2.7655723158347305,0.9096669972685213,0.8936794054837205,0.4433959172836787,126.71973858112015,0.13108770941682202,0.15602683680679405,5.693184105304035
wangrongsheng/llama3-70b-chinese-chat,2.542205742374992,1.3514982537594278,0.5414940584675876,0.41282036070574607,-163.70608076920016,0.10877226576917677,0.08668506787779434,5.963840615933745
wangshenzhi/gemma2-27b-chinese-chat [zh],1.5361627296623013,2.72614235967128,0.7686543840160509,0.5011602632781242,143.6793062258151,0.14028805630460367,0.12430690248569606,6.17553826105877
