country_code,PC1_rescaled_std,PC1_rescaled_min,PC1_rescaled_max,PC2_rescaled_std,PC2_rescaled_min,PC2_rescaled_max,range_pc1,range_pc2
8.0,0.008813241343168495,-0.5826278145163731,-0.551910414623526,0.02322756071853227,-0.30257535169400485,-0.21826081188544294,0.030717399892847164,0.0843145398085619
12.0,0.0027508495587777143,-0.814179709991952,-0.8041101266338759,0.015632004428032562,-0.7414787310621714,-0.6891564907806133,0.010069583358076062,0.052322240281558186
20.0,0.016525703128360256,2.1829891504420442,2.2387507868907437,0.032803304020160455,1.0092236002375852,1.1130180509146843,0.05576163644869947,0.10379445067709914
31.0,0.016850504380416416,-0.8033436869889712,-0.7483196383522497,0.0289047253220626,-0.7939336770879687,-0.7051470989070204,0.0550240486367215,0.08878657818094826
32.0,0.012714700155804334,0.6144949488325336,0.6639690115688908,0.009104387977175752,-0.1412416612947037,-0.10953693640342307,0.04947406273635713,0.03170472489128062
36.0,0.01220840822135815,2.4897205683674075,2.53368503515393,0.04304422806783815,0.5042806563246772,0.6402528048960777,0.04396446678652266,0.1359721485714005
40.0,0.013460965933631074,1.6592259312063726,1.7026301903277796,0.02940672564738894,0.7136704906197952,0.8106434820868641,0.043404259121406996,0.09697299146706895
50.0,0.027429109372531853,-0.7913087172286964,-0.700572206182501,0.01072900335073844,-1.473040872343908,-1.4353413821302192,0.0907365110461954,0.03769949021368868
51.0,0.009072857706990454,-0.7714744307980828,-0.740622864450729,0.019487118109548132,-0.7732654248461877,-0.7134317751434799,0.030851566347353754,0.05983364970270777
56.0,0.012132110700558568,1.8422684632389448,1.8901079143187856,0.025497185265941216,0.5521612627010329,0.6387010916245799,0.04783945107984078,0.08653982892354695
68.0,0.02916081399909248,-0.43339193711549207,-0.329135622236876,0.01970897131947711,-1.165307128339227,-1.0986738090513661,0.10425631487861609,0.06663331928786076
70.0,0.014021715866505191,-0.36416172304019634,-0.31734948116943357,0.015333925282414815,0.07182331625516383,0.12385694167315409,0.04681224187076277,0.052033625417990254
76.0,0.01933917936542864,-0.013836041285445319,0.06049471300085665,0.02132984038698831,-0.425139057911798,-0.3462807009995251,0.07433075428630197,0.07885835691227289
100.0,0.019231664878787996,-0.2746201671173933,-0.21009242182620255,0.03740864701984381,0.7522614729789933,0.8744138708423376,0.06452774529119074,0.12215239786334431
104.0,0.018533965201592808,-0.9002874730987491,-0.8406453683201268,0.020588307795376945,-1.0596071873923263,-0.9962889437918453,0.05964210477862231,0.063318243600481
112.0,0.017551869658410112,-0.14094588178003065,-0.07154781206977505,0.02444095773411303,0.3467282854264787,0.42567548416165263,0.0693980697102556,0.07894719873517392
124.0,0.00910446483762501,2.3388110413943646,2.3728390102388963,0.04153403960064235,0.69575167551582,0.8251494261249024,0.03402796884453174,0.12939775060908243
152.0,0.009014874731208596,0.24692269522866683,0.28519268974451445,0.01091134868673809,-0.10528167571575821,-0.06074246829759215,0.038269994515847616,0.044539207418166055
156.0,0.03890352336406522,0.1847897585054228,0.32892493053050287,0.038584116123547715,0.7314060554802752,0.8670116713556154,0.14413517202508005,0.13560561587534026
158.0,0.05842369359907048,0.029450384259193423,0.23010329139438568,0.02866960836747525,1.2107748857947223,1.3247530614707026,0.20065290713519227,0.11397817567598034
170.0,0.041449804794022986,-0.008549154209336097,0.13576741130904105,0.021114520530275595,-1.6058012652555835,-1.533938214713385,0.14431656551837715,0.07186305054219844
