cohort,language,n_models,mean_dist_confucian,ci_lo,ci_hi
Chinese,en,10,1.4513182926437738,1.3242201878516606,1.5816215726973843
Chinese,zh,10,1.9731481344108084,1.8587690715625973,2.0891483455545043
Western,en,7,1.8481980295987719,1.7405669880216943,1.9581606060481611
Western,zh,6,2.1426636617094315,2.028932062903657,2.2567198141743856
