llm,dist_human_mean,dist_human_mean_lo,dist_human_mean_hi,pct_countries_closer,min_dist_nonwestern,min_dist_nonwestern_lo,min_dist_nonwestern_hi
deepseek-v4-flash,1.7716661360520978,1.543332503172922,2.0679308993850936,0.7552889908256881,1.1022745011337391,0.8501214012160798,1.4166147293818108
deepseek-v4-flash [zh],2.1375501859901167,1.7809767451641634,2.5052757593165214,0.8776990825688074,1.3941961665924856,1.0079375090659268,1.796914127623006
deepseek-v4-flash:0731,2.18882202701804,1.7995573262516529,2.6068785887104386,0.8908550458715596,1.858447844509522,1.4019064932696572,2.314320196484827
deepseek-v4-flash:0731 [zh],2.9552931121083756,2.6353715570974288,3.3086672827833916,0.9777724770642202,2.5844674025526446,2.250788634727486,2.958625030635236
deepseek-v4-pro,2.219967278626736,1.75211069761033,2.775683110851113,0.8930944954128441,1.4056182664124703,0.9275792916921016,1.962497511610507
deepseek-v4-pro [zh],2.5278029295557216,2.302469708673375,2.788721548564631,0.9610541284403669,1.745304875224013,1.5274129262703746,1.999344025003854
gemma4:31b,2.7450649455830027,2.61594369131583,2.8779355559915083,0.971867889908257,2.036383655013232,1.8871386480300871,2.183681588734705
gemma4:31b [zh],2.7971967327195073,2.540656817355377,3.1175631847367913,0.972287155963303,2.272388531060083,1.9349912788182841,2.6895321862438255
glm-5.1,2.2210506872582734,1.8734592931210157,2.6885784930802754,0.8981733944954129,1.4935746932821399,1.1443375143882182,1.9465826815937108
glm-5.1 [zh],2.7339992422512465,2.2467362264284088,3.2428123153081696,0.9677807339449542,2.075236431268893,1.6009450710578947,2.5720764011978847
glm-5.2,2.2840151192371865,1.7346846210183602,2.870665811553794,0.9052596330275228,1.9500401005163017,1.3488308036833765,2.5787669238616657
glm-5.2 [zh],2.869763243206917,2.384722844636244,3.419321926681597,0.9747678899082568,2.3515124571040267,1.8545771046902628,2.884821620643206
gpt-oss:120b,3.2067631612288583,3.0468463382743622,3.363838053064759,0.9896798165137616,2.5926344740290586,2.4132894959273976,2.765750209806341
gpt-oss:120b [zh],3.3450513048486785,3.1393961564844557,3.53230891218601,0.9931761467889908,2.781456270177926,2.5831455167127944,2.9615195709508133
gpt-oss:20b,2.5786387688161665,2.3744454000428394,2.740523471795882,0.9643073394495412,2.0308782370508403,1.8370785716777684,2.1941324135390445
gpt-oss:20b [zh],2.363924372706579,2.1145889309097723,2.573585387537479,0.9434018348623853,1.6523827760146523,1.4114721711853266,1.8671155056187576
kimi-k2.6,2.2167154834215457,1.8298118210910541,2.63948661396255,0.8984761467889908,1.4817318952512952,1.061056214349385,1.9345297768568543
kimi-k2.6 [zh],2.8932630811148963,2.54666507015405,3.247031065282753,0.9754522935779816,2.270456402971884,1.9112247804435054,2.639244855584154
kimi-k2.7-code,2.2221173637905114,1.8223868347122523,2.6499743905484343,0.8996862385321099,1.5177529528184932,1.094555831506406,1.9593355521285574
kimi-k2.7-code [zh],2.8251979568853187,2.317315447289162,3.278554783428963,0.9722550458715598,2.15603098520033,1.620456449485366,2.6203924922950312
minimax-m2.7,2.019045210921134,1.884114833406209,2.166699596951087,0.8351798165137614,1.400049225876496,1.2188256173696765,1.6116848484211865
minimax-m2.7 [zh],2.2930300171889706,2.1309399848030184,2.4564908412891673,0.9333229357798165,1.7864533442825496,1.6268048792238283,1.9449969357628556
minimax-m3,1.5981213917970338,1.3539160299404032,1.8412729639089112,0.6704568807339449,0.8073449639370772,0.5564189626801473,1.0587659036100405
minimax-m3 [zh],2.086428118596618,1.898866604389518,2.228988761313038,0.8606477064220182,1.3849356498460073,1.2096070485352088,1.5432913239566917
mistral-large-3:675b,2.222893205457087,2.010499999688186,2.5271456935613115,0.9056706422018349,1.3928466453014705,1.1707279715468029,1.7299098229746925
mistral-large-3:675b [zh],3.01721326952359,2.6546907723898965,3.357660309855521,0.9804220183486239,2.371128447771707,1.9787697536360145,2.7337896887055697
nemotron-3-nano:30b,2.268390679145263,2.126690439584743,2.433902663771907,0.9272596330275228,1.5966536970024858,1.4457064060817018,1.7626726034809197
nemotron-3-nano:30b [zh],2.4372449764978863,2.322167454370269,2.5601697076113754,0.9564376146788991,1.7779694856022783,1.6526185207960054,1.9124675005885503
nemotron-3-super,2.175517659727474,1.7815258502731164,2.6067953102556207,0.8865513761467889,1.4753831013689938,1.01762340879873,1.9599413429898362
nemotron-3-super [zh],2.6754436874811245,2.422566762803056,2.9151068026690545,0.9683146788990827,2.0006564596299428,1.7415120673230995,2.2393286125908944
nemotron-3-ultra,2.4437912019387906,2.0779756781659713,2.8404033156062622,0.946508256880734,1.812606397425321,1.4128005013974618,2.231242563242863
qwen3.5:397b,2.22924752992664,1.988748162492349,2.508175972841553,0.9083816513761467,1.496348482700203,1.2617038690921478,1.7730670674374056
qwen3.5:397b [zh],2.539988724816385,2.3103575082105143,2.8000630143444307,0.9617146788990827,1.982887629065248,1.7688936039245977,2.236145476287087
